Record ID|Description|EqNumber
182|24" Pig Receiver Pig Receiver|000000000001205156
183|30" Pig Launcher Pig Launcher|000000000001205157
184|30" Pig Receiver Pig Receiver|000000000001205158
185|36" Pig Launcher Pig Launcher|000000000001205159
186|36" Pig Receiver Pig Receiver|000000000001205160
187|10" Pig Receiver Pig Receiver|000000000001205162
188|18" Pig Launcher Pig Launcher|000000000001205165
189|18" Pig Receiver Pig Receiver|000000000001205166
190|2" SCH 160 A106 PIPE Transfer Pipe Line|000000000001206570
191|6" Pig Launcher Pig Launcher|000000000001207602
192|28" Pig Launcher Pig Launcher|000000000001207757
193|28" Pig Receiver Pig Receiver|000000000001207758
194|6" Pig Receiver Pig Receiver|000000000001207759
195|14" Pig Launcher Pig Launcher|000000000001207883
196|14" Pig Receiver Pig Receiver|000000000001207884
197|EXCHANGER:Redman Equipment HE-8 Vessel Heat  Exchanger|000000000001210354
198|TANK, WELDED STEEL,350 BBL Tank (All Types)|000000000001211487
199|2" CVR Line Flow Line/Injection Line|000000000001211852
200|3" CVR Line Flow Line/Injection Line|000000000001216904
201|4" CVR Line Flow Line/Injection Line|000000000001216905
202|6" CVR Line Transfer Pipe Line|000000000001217184
203|8" CVR Line Transfer Pipe Line|000000000001217271
204|10",WKM W/Bettis Actuator Valves|000000000001217557
205|12",WKM W/Bettis Actuator Valves|000000000001217558
206|14",WKM W/Bettis Actuator Valves|000000000001217559
207|4" STD BLK PIPE-FLOWLINE Flow Line/Injection Line|000000000001217723
208|EATON. MODEL 50, BASKET FLTR Filter|000000000001218537
209|MAXON, 3",GATE VALVE Valves|000000000001220278
210|Building 18'9 X 7'9" X 132" Building|000000000001220553
211|Building 32' X 12" X 9'5" Building|000000000001220554
212|3" Cement Line SRL Pipe Flow Line/Injection Line|000000000001229035
213|BAKER TANK, WELDED STEEL,500 BBL Tank (All Types)|000000000001229931
214|NASH,XL-150 VECTRA VACUUM Compressor Centrifugal|000000000001123585
215|CHAMPION,HRA25-12,COMPRESSOR Compressor Reciprocating|000000000001141414
216|COPELAND SCROLL,ZNH22C2AKXX265,SZ0044 Compressor, Rotary Screw|000000000001150228
217|ATLAS-COPAS,GA55,Compressor Compressor, Rotary Screw|000000000001161522
218|SULLAIR,1800,COMPRESSOR Compressor, Rotary Screw|000000000001164636
219|SULLAIR,1809, Compressor Compressor, Rotary Screw|000000000001185216
220|SULLAIR,LS-16 75HH, Compressor Compressor, Rotary Screw|000000000001187010
221|A-C COMPRESSOR,AC RO-FLO,10G Compressor, Rotary Vane|000000000001208884
222|KAESER, AS-21 25HP Rotary Screw Air Comp Compressor, Rotary Screw|000000000001218867
223|MOTOR,WEG ELECTRIC,200 HP,3600 RPM Electric Motors|000000000001033221
224|MOTOR,US ELECTRIC,150 HP,1800 RPM Electric Motors|000000000001034726
225|MOTOR,RELIANCE ELECTRIC,50 HP,1800 RPM Electric Motors|000000000001034729
226|MOTOR,WESTINGHOUSE,2000 HP,3600 RPM Electric Motors|000000000001034778
